ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
105,874,996,1.139588101,1020.833,1.168001144,133880.417,0.153796441,1.759,1.434,14.55847987,0.338,0.166,0.102,0.067,0.054,0.048,0.043,0.041,0.039,0.036,0.032,0.033,0.084,0.341,0.212,0.138,0.102,0.124,57.12,9.160000003,0.839635854,,33.59999998,0.129082426
106,1109,813,0.733092876,962.106,0.867543733,136664.667,0.151577296,1.762,1.433,14.46039358,0.37,0.168,0.092,0.068,0.061,0.046,0.035,0.033,0.035,0.032,0.028,0.032,0.082,0.358,0.192,0.124,0.11,0.134,58.46000002,10.48,0.820732125,,23.53999999,0.17778554
108,1066,989,0.927767355,1069.666,1.003439024,164602.167,0.156128451,1.758,1.462,14.87706531,0.354,0.16,0.093,0.066,0.053,0.043,0.039,0.042,0.051,0.048,0.035,0.016,0.085,0.331,0.194,0.14,0.123,0.126,68.40000003,14.25,0.791666667,,53.59000003,0.195707639
109,891,828,0.929292929,1094.125,1.227974186,153192.5,0.207648818,1.761,1.448,14.61359799,0.368,0.177,0.112,0.083,0.06,0.044,0.034,0.028,0.023,0.023,0.02,0.028,0.069,0.401,0.23,0.138,0.073,0.09,73.04999999,13.36,0.817111567,,29.98,0.217640919
110,809,704,0.870210136,939.253,1.161004944,120624.583,0.211794484,1.808,1.423,14.48600765,0.286,0.147,0.096,0.073,0.061,0.051,0.039,0.032,0.03,0.04,0.069,0.077,0.082,0.315,0.183,0.121,0.093,0.206,60.07000001,9.880000002,0.835525221,,25.92999998,0.214718353
112,668,857,1.282934132,923.1555556,1.381969395,154751.75,0.270320066,1.827,1.454,14.52879021,0.25,0.135,0.096,0.071,0.059,0.049,0.045,0.042,0.042,0.047,0.064,0.1,0.062,0.266,0.194,0.123,0.093,0.261,82.50999999,16.39,0.801357411,,67.59,0.177437021
115,796,963,1.209798995,997.2296296,1.252801042,151133.833,0.197161604,1.809,1.453,14.54350834,0.299,0.147,0.091,0.062,0.052,0.042,0.033,0.033,0.035,0.039,0.049,0.119,0.079,0.301,0.185,0.114,0.081,0.241,87.07000001,14.81,0.829906971,,26.61000001,0.207564026
116,511,720,1.409001957,806.187,1.577665362,65681,0.178519787,1.71,1.336,13.86120212,0.268,0.182,0.128,0.103,0.081,0.068,0.056,0.042,0.026,0.015,0.01,0.02,0.08,0.353,0.25,0.184,0.084,0.049,23.93,4.199999999,0.82448809,,26.16999999,0.179880915
117,950,867,0.912631579,1054.563,1.110066316,111339.25,0.135177867,1.721,1.409,14.36968217,0.387,0.163,0.096,0.068,0.052,0.049,0.048,0.045,0.039,0.026,0.017,0.011,0.08,0.39,0.208,0.149,0.107,0.066,52.71999999,11.83999999,0.775417299,,39.68999998,0.185846154
118,650,703,1.081538462,766.609,1.179398462,92112.5,0.201581136,1.785,1.38,14.12115361,0.3,0.167,0.095,0.07,0.057,0.043,0.042,0.038,0.037,0.041,0.052,0.057,0.072,0.334,0.193,0.118,0.083,0.2,41.57999998,8.629999999,0.792448292,,48.04999998,0.19876605
120,592,849,1.434121622,914.2666667,1.544369369,75220.75,0.149660869,1.715,1.356,13.95141318,0.338,0.164,0.107,0.085,0.067,0.053,0.043,0.038,0.032,0.024,0.02,0.029,0.095,0.352,0.222,0.149,0.094,0.088,28.63,5.090000002,0.82221446,,63.31000001,0.170575134
121,1185,1040,0.877637131,1122.235,0.947033755,195325.5,0.158491967,1.744,1.482,14.85759688,0.38,0.187,0.104,0.066,0.048,0.04,0.037,0.034,0.028,0.025,0.025,0.028,0.078,0.403,0.217,0.118,0.086,0.098,66.63000003,13.03999999,0.804292361,,25.45,0.174505352
122,762,858,1.125984252,931.116,1.221937008,107717.25,0.164756667,1.755,1.399,14.26878344,0.365,0.184,0.102,0.07,0.056,0.043,0.033,0.028,0.024,0.03,0.029,0.037,0.067,0.378,0.202,0.115,0.093,0.144,38.32,8.339999997,0.782359081,,45.58999998,0.176183592
